target,feature,group_lead,group_type,importance_mean,importance_std
lvef_lte_45_flag,aVL_lf_power,aVL,lf_power,0.0009989681096750803,0.0006947276596531583
lvef_lte_45_flag,aVL_ecg_band_power,aVL,ecg_band_power,0.00010343472065243997,4.313795634646442e-05
lvef_lte_45_flag,aVL_hf_power,aVL,hf_power,-4.864625816920487e-05,9.36750799881477e-05
lvef_lte_45_flag,aVL_total_power,aVL,total_power,-0.000210309075721149,8.433951080519384e-05
lvef_lte_45_flag,aVL_dominant_freq,aVL,dominant_freq,0.0007920372463268821,0.00021972691820659564
lvef_lte_45_flag,aVL_spectral_entropy,aVL,spectral_entropy,2.5183037688480957e-05,0.00012501173983875345
lvef_lte_45_flag,aVF_mean,aVF,mean,0.0004423615547147541,0.00028168718198229195
lvef_lte_45_flag,aVF_std,aVF,std,-5.386713183626046e-05,3.632925634928635e-05
lvef_lte_45_flag,aVF_min,aVF,min,0.001044236155471423,0.0001177374855025726
lvef_lte_45_flag,aVF_max,aVF,max,0.0002623335462630383,8.091160037460151e-05
lvef_lte_45_flag,aVF_rms,aVF,rms,0.0,0.0
lvef_lte_45_flag,aVF_energy,aVF,energy,0.0,0.0
lvef_lte_45_flag,aVF_skewness,aVF,skewness,0.0001366026239496554,0.00010619432521452776
lvef_lte_45_flag,aVF_kurtosis,aVF,kurtosis,8.003292221512304e-05,6.884986383764338e-05
lvef_lte_45_flag,aVF_zcr,aVF,zcr,8.23055378116333e-06,4.122988673866021e-05
lvef_lte_45_flag,aVF_lf_power,aVF,lf_power,0.00010558449216249154,9.15483962934151e-05
